"","run","year","fixed.maturity","habitat.struct","num.river.with.fish","total.count","habitat.K","p.filled"
"103",1,103,1,1,0,31033,54000,0.574685185185185
"104",2,1,1,1,1,100,55500,0.0018018018018018
"105",2,2,1,1,5,100,55500,0.0018018018018018
"106",2,3,1,1,0,140,55500,0.00252252252252252
"107",2,4,1,1,5,140,55500,0.00252252252252252
"108",2,5,1,1,0,164,55500,0.00295495495495496
"109",2,6,1,1,5,164,55500,0.00295495495495496
"110",2,7,1,1,0,194,55500,0.0034954954954955
"111",2,8,1,1,5,194,55500,0.0034954954954955
"112",2,9,1,1,0,202,55500,0.00363963963963964
"113",2,10,1,1,5,202,55500,0.00363963963963964
"114",2,11,1,1,0,200,55500,0.0036036036036036
"115",2,12,1,1,5,200,55500,0.0036036036036036
"116",2,13,1,1,0,244,55500,0.0043963963963964
"117",2,14,1,1,5,244,55500,0.0043963963963964
"118",2,15,1,1,0,320,55500,0.00576576576576577
"119",2,16,1,1,5,320,55500,0.00576576576576577
"120",2,17,1,1,0,425,55500,0.00765765765765766
"121",2,18,1,1,5,425,55500,0.00765765765765766
"122",2,19,1,1,0,543,55500,0.00978378378378378
"123",2,20,1,1,5,543,55500,0.00978378378378378
"124",2,21,1,1,0,841,55500,0.0151531531531532
"125",2,22,1,1,6,841,55500,0.0151531531531532
"126",2,23,1,1,0,896,55500,0.0161441441441441
"127",2,24,1,1,6,896,55500,0.0161441441441441
"128",2,25,1,1,0,982,55500,0.0176936936936937
"129",2,26,1,1,6,982,55500,0.0176936936936937
"130",2,27,1,1,0,1061,55500,0.0191171171171171
"131",2,28,1,1,7,1061,55500,0.0191171171171171
"132",2,29,1,1,0,1223,55500,0.022036036036036
"133",2,30,1,1,7,1223,55500,0.022036036036036
"134",2,31,1,1,0,1495,55500,0.0269369369369369
"135",2,32,1,1,7,1495,55500,0.0269369369369369
"136",2,33,1,1,0,1920,55500,0.0345945945945946
"137",2,34,1,1,7,1920,55500,0.0345945945945946
"138",2,35,1,1,0,2664,55500,0.048
"139",2,36,1,1,9,2664,55500,0.048
"140",2,37,1,1,0,3469,55500,0.0625045045045045
"141",2,38,1,1,9,3469,55500,0.0625045045045045
"142",2,39,1,1,0,4599,55500,0.0828648648648649
"143",2,40,1,1,10,4599,55500,0.0828648648648649
"144",2,41,1,1,0,6353,55500,0.114468468468468
"145",2,42,1,1,11,6353,55500,0.114468468468468
"146",2,43,1,1,0,7757,55500,0.139765765765766
"147",2,44,1,1,11,7757,55500,0.139765765765766
"148",2,45,1,1,0,8172,55500,0.147243243243243
"149",2,46,1,1,11,8172,55500,0.147243243243243
"150",2,47,1,1,0,9158,55500,0.165009009009009
