"","year","two_yrs_fit","two_yrs_home_fit","two_yrs_stray_fit","two_yrs_RRS","two_yrs_home_RRS","two_yrs_stray_RRS"
"1",2,2.08,2.33707865168539,0,1,1.12359550561798,0
"2",3,NA,NA,NA,1,NA,NA
"3",4,1.65714285714286,1.77099236641221,0,1,1.06870229007634,0
"4",5,NA,NA,NA,1,NA,NA
"5",6,1.86666666666667,2.04379562043796,0,1,1.09489051094891,0
"6",7,NA,NA,NA,1,NA,NA
"7",8,1.62962962962963,1.82248520710059,0,1,1.11834319526627,0
"8",9,NA,NA,NA,1,NA,NA
"9",10,2.02,2.23204419889503,0,1,1.10497237569061,0
"10",11,NA,NA,NA,1,NA,NA
"11",12,1.89147286821705,2.03333333333333,0,1,1.075,0
"12",13,NA,NA,NA,1,NA,NA
"13",14,1.56862745098039,1.73913043478261,0,1,1.10869565217391,0
"14",15,NA,NA,NA,1,NA,NA
"15",16,1.94812680115274,2.18770226537217,0,1,1.12297734627832,0
"16",17,NA,NA,NA,1,NA,NA
"17",18,1.88968824940048,2.10695187165775,0,1,1.11497326203209,0
"18",19,NA,NA,NA,1,NA,NA
"19",20,1.86973180076628,2.10799136069114,0,1,1.12742980561555,0
"20",21,NA,NA,NA,1,NA,NA
"21",22,1.6386292834891,1.74564459930314,0.735294117647059,1,1.06530782581047,0.448725117423395
"22",23,NA,NA,NA,1,NA,NA
"23",24,1.49090909090909,1.53254437869822,1.19148936170213,1,1.02792610766344,0.799169693824598
"24",25,NA,NA,NA,1,NA,NA
"25",26,1.48872180451128,1.46814404432133,1.68421052631579,1,0.986177565124933,1.13131313131313
"26",27,NA,NA,NA,1,NA,NA
"27",28,NA,NA,NA,1,NA,NA
"28",29,NA,NA,NA,1,NA,NA
"29",30,NA,NA,NA,1,NA,NA
